,Rk,G,Date,Age,Tm,LOC,Opp,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,EVAL,SEASON
0,1,1.0,2020-12-23,28,UTA,away,POR,20,1,1688.0,8.0,10.0,0.8,0.0,0.0,0.0,4.0,6.0,0.667,4.0,13.0,17.0,2.0,1.0,0.0,2.0,2.0,20.0,21.7,15.0,34.0,2020-2021
1,2,2.0,2020-12-26,28,UTA,home,MIN,-5,1,1743.0,7.0,10.0,0.7,0.0,0.0,0.0,4.0,6.0,0.667,7.0,9.0,16.0,2.0,0.0,1.0,4.0,4.0,18.0,17.1,7.0,28.0,2020-2021
2,3,3.0,2020-12-28,28,UTA,away,OKC,1,1,2209.0,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,4.0,1.0,4.0,1.0,1.0,12.0,17.0,5.0,28.0,2020-2021
3,4,4.0,2020-12-31,28,UTA,home,PHO,-11,1,2051.0,7.0,9.0,0.778,0.0,0.0,0.0,4.0,8.0,0.5,2.0,12.0,14.0,0.0,1.0,1.0,1.0,3.0,18.0,17.4,-9.0,27.0,2020-2021
4,5,5.0,2021-01-01,28,UTA,home,LAC,6,1,1468.0,5.0,10.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,2.0,7.0,9.0,1.0,1.0,1.0,0.0,4.0,12.0,10.5,0.0,17.0,2020-2021
5,6,6.0,2021-01-03,28,UTA,away,SAS,21,1,1647.0,2.0,7.0,0.286,0.0,0.0,0.0,3.0,6.0,0.5,2.0,14.0,16.0,1.0,0.0,6.0,4.0,1.0,7.0,7.8,18.0,18.0,2020-2021
6,7,7.0,2021-01-05,28,UTA,away,BRK,-34,1,1630.0,3.0,10.0,0.3,0.0,0.0,0.0,4.0,5.0,0.8,6.0,5.0,11.0,3.0,0.0,2.0,0.0,1.0,10.0,12.6,-15.0,18.0,2020-2021
7,8,8.0,2021-01-06,28,UTA,away,NYK,-12,1,2100.0,7.0,9.0,0.778,0.0,0.0,0.0,0.0,3.0,0.0,2.0,9.0,11.0,2.0,0.0,5.0,0.0,1.0,14.0,17.9,-18.0,27.0,2020-2021
8,9,9.0,2021-01-08,28,UTA,away,MIL,13,1,1986.0,4.0,9.0,0.444,0.0,0.0,0.0,1.0,4.0,0.25,4.0,10.0,14.0,0.0,1.0,4.0,2.0,1.0,9.0,10.3,13.0,18.0,2020-2021
9,10,10.0,2021-01-10,28,UTA,away,DET,10,1,2014.0,1.0,5.0,0.2,0.0,0.0,0.0,2.0,6.0,0.333,6.0,13.0,19.0,1.0,0.0,4.0,4.0,2.0,4.0,6.1,7.0,16.0,2020-2021
10,11,11.0,2021-01-12,28,UTA,away,CLE,30,1,1521.0,2.0,7.0,0.286,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,10.0,0.0,1.0,1.0,2.0,3.0,4.0,1.4,13.0,7.0,2020-2021
11,12,12.0,2021-01-15,28,UTA,home,ATL,24,1,1681.0,6.0,7.0,0.857,0.0,0.0,0.0,3.0,6.0,0.5,3.0,10.0,13.0,1.0,0.0,4.0,1.0,1.0,15.0,18.5,23.0,28.0,2020-2021
12,13,13.0,2021-01-17,28,UTA,away,DEN,4,1,1976.0,4.0,5.0,0.8,0.0,0.0,0.0,7.0,13.0,0.538,4.0,9.0,13.0,1.0,0.0,2.0,1.0,3.0,15.0,16.1,8.0,23.0,2020-2021
13,14,14.0,2021-01-19,28,UTA,home,NOP,16,1,1790.0,6.0,8.0,0.75,0.0,0.0,0.0,1.0,6.0,0.167,6.0,12.0,18.0,1.0,1.0,3.0,0.0,1.0,13.0,19.0,22.0,29.0,2020-2021
14,15,15.0,2021-01-21,28,UTA,home,NOP,11,1,1776.0,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,11.0,2.0,0.0,4.0,2.0,2.0,12.0,13.9,19.0,25.0,2020-2021
15,16,16.0,2021-01-23,28,UTA,home,GSW,19,1,1446.0,4.0,6.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,4.0,10.0,14.0,2.0,0.0,1.0,0.0,1.0,11.0,15.5,38.0,25.0,2020-2021
16,17,17.0,2021-01-26,28,UTA,home,NYK,14,1,1890.0,8.0,13.0,0.615,0.0,0.0,0.0,2.0,2.0,1.0,7.0,12.0,19.0,2.0,0.0,4.0,0.0,2.0,18.0,24.0,27.0,38.0,2020-2021
17,18,18.0,2021-01-27,28,UTA,home,DAL,12,1,2249.0,11.0,20.0,0.55,0.0,0.0,0.0,7.0,11.0,0.636,6.0,14.0,20.0,1.0,3.0,3.0,2.0,2.0,29.0,29.2,12.0,41.0,2020-2021
18,19,19.0,2021-01-29,28,UTA,home,DAL,19,1,1526.0,5.0,7.0,0.714,0.0,0.0,0.0,7.0,8.0,0.875,5.0,7.0,12.0,0.0,0.0,2.0,4.0,5.0,17.0,14.7,14.0,24.0,2020-2021
19,20,20.0,2021-01-31,28,UTA,away,DEN,-11,1,1530.0,4.0,7.0,0.571,0.0,0.0,0.0,4.0,8.0,0.5,6.0,2.0,8.0,1.0,0.0,1.0,0.0,2.0,12.0,12.5,-15.0,15.0,2020-2021
20,21,21.0,2021-02-02,28,UTA,home,DET,12,1,1769.0,2.0,4.0,0.5,0.0,0.0,0.0,5.0,6.0,0.833,1.0,6.0,7.0,2.0,0.0,3.0,3.0,3.0,9.0,8.4,-7.0,15.0,2020-2021
21,22,22.0,2021-02-04,28,UTA,away,ATL,21,1,1629.0,5.0,12.0,0.417,0.0,0.0,0.0,1.0,2.0,0.5,4.0,8.0,12.0,2.0,0.0,2.0,1.0,0.0,11.0,11.2,14.0,18.0,2020-2021
22,23,23.0,2021-02-05,28,UTA,away,CHO,17,1,1600.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,5.0,0.8,2.0,13.0,15.0,0.0,0.0,4.0,3.0,5.0,12.0,13.5,9.0,27.0,2020-2021
23,24,24.0,2021-02-07,28,UTA,away,IND,8,1,1848.0,7.0,9.0,0.778,0.0,0.0,0.0,2.0,9.0,0.222,2.0,14.0,16.0,0.0,0.0,3.0,1.0,3.0,16.0,15.2,4.0,25.0,2020-2021
24,25,25.0,2021-02-09,28,UTA,home,BOS,14,1,2189.0,8.0,9.0,0.889,0.0,0.0,0.0,2.0,3.0,0.667,3.0,9.0,12.0,3.0,0.0,3.0,4.0,3.0,18.0,18.3,23.0,30.0,2020-2021
25,26,26.0,2021-02-12,28,UTA,home,MIL,14,1,2081.0,9.0,12.0,0.75,0.0,0.0,0.0,9.0,13.0,0.692,4.0,8.0,12.0,0.0,0.0,4.0,2.0,5.0,27.0,24.6,5.0,34.0,2020-2021
26,27,27.0,2021-02-13,28,UTA,home,MIA,18,1,1812.0,6.0,7.0,0.857,0.0,1.0,0.0,4.0,5.0,0.8,1.0,11.0,12.0,0.0,0.0,3.0,2.0,1.0,16.0,16.8,17.0,27.0,2020-2021
27,28,28.0,2021-02-15,28,UTA,home,PHI,11,1,1907.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,8.0,0.625,1.0,8.0,9.0,2.0,1.0,2.0,1.0,3.0,11.0,13.6,5.0,21.0,2020-2021
28,29,29.0,2021-02-17,28,UTA,away,LAC,18,1,1903.0,8.0,12.0,0.667,0.0,0.0,0.0,7.0,8.0,0.875,5.0,15.0,20.0,1.0,1.0,1.0,0.0,0.0,23.0,27.8,25.0,41.0,2020-2021
29,30,30.0,2021-02-19,28,UTA,away,LAC,-4,1,1887.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,15.0,1.0,0.0,3.0,3.0,2.0,8.0,9.8,-5.0,21.0,2020-2021
30,31,31.0,2021-02-22,28,UTA,home,CHO,22,1,1789.0,3.0,4.0,0.75,0.0,0.0,0.0,4.0,4.0,1.0,3.0,9.0,12.0,1.0,0.0,6.0,4.0,3.0,10.0,12.9,24.0,24.0,2020-2021
31,32,32.0,2021-02-24,28,UTA,home,LAL,25,1,1614.0,8.0,12.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,1.0,8.0,9.0,0.0,0.0,1.0,3.0,1.0,18.0,12.8,14.0,20.0,2020-2021
32,33,33.0,2021-02-26,28,UTA,away,MIA,-8,1,2211.0,4.0,7.0,0.571,0.0,0.0,0.0,7.0,7.0,1.0,2.0,10.0,12.0,1.0,1.0,2.0,1.0,2.0,15.0,17.4,-2.0,27.0,2020-2021
33,34,34.0,2021-02-27,28,UTA,away,ORL,15,1,1816.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,15.0,16.0,3.0,1.0,2.0,3.0,1.0,12.0,14.9,16.0,27.0,2020-2021
34,35,35.0,2021-03-01,28,UTA,away,NOP,-5,1,2002.0,9.0,13.0,0.692,0.0,0.0,0.0,4.0,6.0,0.667,2.0,7.0,9.0,1.0,1.0,5.0,0.0,3.0,22.0,23.2,2.0,32.0,2020-2021
35,36,36.0,2021-03-03,28,UTA,away,PHI,-8,1,2308.0,4.0,10.0,0.4,0.0,0.0,0.0,4.0,6.0,0.667,5.0,4.0,9.0,4.0,2.0,1.0,3.0,5.0,12.0,11.0,-9.0,17.0,2020-2021
36,37,37.0,2021-03-12,28,UTA,home,HOU,15,1,1944.0,5.0,9.0,0.556,0.0,0.0,0.0,4.0,6.0,0.667,2.0,11.0,13.0,1.0,0.0,6.0,2.0,1.0,14.0,16.1,9.0,26.0,2020-2021
37,38,38.0,2021-03-14,28,UTA,away,GSW,-12,1,1948.0,8.0,10.0,0.8,0.0,0.0,0.0,8.0,13.0,0.615,8.0,20.0,28.0,1.0,2.0,4.0,0.0,5.0,24.0,33.3,11.0,52.0,2020-2021
38,39,39.0,2021-03-16,28,UTA,away,BOS,8,1,1987.0,5.0,6.0,0.833,0.0,0.0,0.0,6.0,7.0,0.857,1.0,11.0,12.0,1.0,0.0,4.0,4.0,3.0,16.0,15.7,14.0,27.0,2020-2021
39,40,40.0,2021-03-18,28,UTA,away,WAS,-9,1,1984.0,4.0,8.0,0.5,0.0,1.0,0.0,2.0,10.0,0.2,5.0,8.0,13.0,0.0,2.0,2.0,0.0,3.0,10.0,10.9,-4.0,15.0,2020-2021
40,41,41.0,2021-03-19,28,UTA,away,TOR,3,1,2110.0,5.0,9.0,0.556,0.0,0.0,0.0,5.0,7.0,0.714,4.0,12.0,16.0,1.0,0.0,2.0,2.0,3.0,15.0,15.2,-4.0,26.0,2020-2021
41,42,42.0,2021-03-22,28,UTA,away,CHI,25,1,1996.0,9.0,11.0,0.818,0.0,0.0,0.0,3.0,3.0,1.0,3.0,7.0,10.0,2.0,0.0,9.0,0.0,4.0,21.0,27.2,19.0,40.0,2020-2021
42,43,43.0,2021-03-24,28,UTA,home,BRK,30,1,1412.0,2.0,3.0,0.667,0.0,0.0,0.0,4.0,4.0,1.0,4.0,7.0,11.0,0.0,0.0,3.0,1.0,2.0,8.0,11.9,27.0,20.0,2020-2021
43,44,44.0,2021-03-26,28,UTA,home,MEM,3,1,1920.0,11.0,14.0,0.786,0.0,0.0,0.0,3.0,4.0,0.75,3.0,6.0,9.0,1.0,0.0,2.0,0.0,3.0,25.0,24.0,10.0,33.0,2020-2021
44,45,45.0,2021-03-27,28,UTA,home,MEM,16,1,1594.0,6.0,10.0,0.6,0.0,1.0,0.0,4.0,7.0,0.571,5.0,9.0,14.0,1.0,0.0,2.0,0.0,2.0,16.0,17.7,25.0,26.0,2020-2021
45,46,46.0,2021-03-29,28,UTA,home,CLE,39,1,1667.0,5.0,8.0,0.625,0.0,0.0,0.0,8.0,10.0,0.8,4.0,13.0,17.0,0.0,2.0,4.0,0.0,0.0,18.0,25.1,38.0,36.0,2020-2021
46,47,47.0,2021-03-31,28,UTA,away,MEM,4,1,2186.0,3.0,6.0,0.5,0.0,0.0,0.0,2.0,7.0,0.286,2.0,10.0,12.0,4.0,1.0,2.0,2.0,4.0,8.0,9.0,12.0,17.0,2020-2021
47,48,48.0,2021-04-02,28,UTA,home,CHI,7,1,1937.0,6.0,7.0,0.857,0.0,0.0,0.0,7.0,8.0,0.875,2.0,11.0,13.0,1.0,0.0,2.0,2.0,2.0,19.0,20.1,9.0,31.0,2020-2021
48,49,49.0,2021-04-03,28,UTA,home,ORL,46,1,1200.0,4.0,6.0,0.667,0.0,0.0,0.0,3.0,5.0,0.6,2.0,4.0,6.0,1.0,0.0,4.0,1.0,2.0,11.0,11.9,30.0,17.0,2020-2021
49,50,50.0,2021-04-05,28,UTA,away,DAL,-8,1,2060.0,6.0,6.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,13.0,15.0,2.0,0.0,2.0,1.0,1.0,14.0,18.5,3.0,31.0,2020-2021
50,51,51.0,2021-04-07,28,UTA,away,PHO,-4,1,2204.0,7.0,7.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,14.0,18.0,2.0,3.0,0.0,3.0,2.0,16.0,21.5,-7.0,36.0,2020-2021
51,52,52.0,2021-04-08,28,UTA,home,POR,19,1,1937.0,6.0,9.0,0.667,0.0,0.0,0.0,6.0,7.0,0.857,6.0,14.0,20.0,2.0,0.0,1.0,1.0,2.0,18.0,22.4,5.0,36.0,2020-2021
52,53,53.0,2021-04-10,28,UTA,home,SAC,16,1,1891.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,3.0,8.0,11.0,1.0,1.0,2.0,2.0,3.0,6.0,9.0,5.0,17.0,2020-2021
