Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,31-121,MIN,@,TOR,L (-3),1,32:00:00,6,12,.500,0,0,,3,5,.600,5,8,13,1,2,4,2,3,15,16.4,-11
2,2,2023-10-28,31-124,MIN,,MIA,W (+16),1,30:48:00,7,9,.778,0,0,,0,0,,4,10,14,1,1,0,2,1,14,15.6,+14
3,3,2023-10-30,31-126,MIN,@,ATL,L (-14),1,30:41:00,3,7,.429,0,0,,8,11,.727,6,7,13,1,1,2,0,2,14,17.7,-13
4,4,2023-11-01,31-128,MIN,,DEN,W (+21),1,32:23:00,0,7,.000,0,0,,4,4,1.000,2,10,12,1,1,2,1,3,4,4.4,+15
5,5,2023-11-04,31-131,MIN,,UTA,W (+28),1,28:30:00,5,10,.500,0,0,,1,2,.500,4,6,10,1,0,4,1,3,11,11.5,+10
6,6,2023-11-06,31-133,MIN,,BOS,W (+5),1,40:45:00,6,6,1.000,0,0,,2,11,.182,2,10,12,1,0,1,2,4,14,10.8,+24
7,7,2023-11-08,31-135,MIN,,NOP,W (+21),1,32:16:00,4,5,.800,0,0,,9,12,.750,5,16,21,1,0,2,4,2,17,19.5,+24
8,8,2023-11-10,31-137,MIN,@,SAS,W (+7),1,33:44:00,5,10,.500,0,0,,1,1,1.000,4,6,10,1,1,0,1,3,11,10.1,+1
9,9,2023-11-12,31-139,MIN,@,GSW,W (+6),1,35:13:00,4,7,.571,0,0,,2,8,.250,4,6,10,3,1,5,2,3,10,12.3,-1
10,10,2023-11-14,31-141,MIN,@,GSW,W (+3),1,35:13:00,2,8,.250,0,0,,5,6,.833,6,7,13,2,0,3,2,4,9,10.0,+8
11,11,2023-11-15,31-142,MIN,@,PHO,L (-18),1,24:52:00,2,5,.400,0,0,,0,0,,4,4,8,2,1,2,2,2,4,6.3,-25
12,12,2023-11-18,31-145,MIN,@,NOP,W (+1),1,34:07:00,5,7,.714,0,0,,7,10,.700,2,9,11,1,2,1,1,2,17,18.6,-7
13,13,2023-11-20,31-147,MIN,,NYK,W (+17),1,26:23:00,7,7,1.000,0,0,,2,7,.286,3,4,7,1,0,2,1,2,16,15.5,+16
14,14,2023-11-22,31-149,MIN,,PHI,W (+13),1,31:12:00,6,8,.750,0,0,,1,2,.500,3,8,11,3,0,3,2,3,13,14.9,+1
15,15,2023-11-24,31-151,MIN,,SAC,L (-13),1,35:30:00,5,8,.625,0,0,,2,2,1.000,3,8,11,0,0,2,3,5,12,9.3,+4
16,16,2023-11-26,31-153,MIN,@,MEM,W (+22),1,25:25:00,5,7,.714,0,0,,3,4,.750,1,3,4,0,0,2,2,5,13,8.7,+16
17,17,2023-11-28,31-155,MIN,,OKC,W (+3),1,36:12:00,6,10,.600,0,0,,5,6,.833,6,10,16,0,1,4,1,1,17,21.6,-1
18,18,2023-11-30,31-157,MIN,,UTA,W (+11),1,37:28:00,6,11,.545,0,0,,3,4,.750,3,10,13,0,0,3,0,4,15,14.9,+15
19,19,2023-12-02,31-159,MIN,@,CHO,W (+6),1,39:18:00,10,12,.833,0,0,,6,9,.667,2,10,12,0,0,3,1,1,26,25.5,+10
20,20,2023-12-06,31-163,MIN,,SAS,W (+8),1,30:12:00,7,8,.875,0,0,,2,2,1.000,5,15,20,2,0,2,1,3,16,21.8,+31
21,21,2023-12-08,31-165,MIN,@,MEM,W (+24),1,35:48:00,6,9,.667,0,0,,4,4,1.000,9,11,20,1,1,6,2,4,16,24.0,+25
22,22,2023-12-11,31-168,MIN,@,NOP,L (-14),1,25:27:00,4,8,.500,0,0,,0,0,,2,6,8,0,0,2,2,4,8,5.0,-20
23,23,2023-12-14,31-171,MIN,@,DAL,W (+18),1,29:56:00,3,4,.750,0,0,,2,6,.333,2,10,12,5,3,1,2,4,8,12.8,+11
24,24,2023-12-16,31-173,MIN,,IND,W (+18),1,25:10:00,2,3,.667,0,0,,1,4,.250,2,5,7,1,1,1,2,1,5,5.4,+3
25,25,2023-12-18,31-175,MIN,@,MIA,W (+4),1,35:17:00,3,8,.375,0,0,,3,4,.750,3,13,16,2,2,2,1,2,9,13.2,+4
26,26,2023-12-20,31-177,MIN,@,PHI,L (-14),1,24:12:00,3,4,.750,0,0,,2,2,1.000,2,7,9,1,2,0,0,4,8,11.0,+6
27,27,2023-12-21,31-178,MIN,,LAL,W (+7),1,37:22:00,6,11,.545,0,0,,3,6,.500,5,8,13,3,1,3,2,3,15,16.4,-1
28,28,2023-12-23,31-180,MIN,@,SAC,W (+12),1,39:13:00,10,13,.769,0,0,,1,2,.500,6,11,17,1,0,2,1,3,21,22.9,+27
29,29,2023-12-26,31-183,MIN,@,OKC,L (-23),1,28:53:00,2,6,.333,0,1,.000,6,8,.750,0,5,5,0,0,0,1,1,10,5.9,-14
30,30,2023-12-28,31-185,MIN,,DAL,W (+8),1,37:37:00,7,7,1.000,0,0,,6,7,.857,2,9,11,2,0,3,2,2,20,22.3,+3
31,31,2023-12-30,31-187,MIN,,LAL,W (+2),1,37:41:00,6,7,.857,0,0,,1,1,1.000,4,9,13,0,2,1,4,3,13,13.5,+19
32,32,2024-01-01,31-189,MIN,@,NYK,L (-6),1,37:48:00,3,8,.375,0,0,,4,6,.667,2,13,15,1,0,0,1,2,10,9.0,-11
33,33,2024-01-03,31-191,MIN,,NOP,L (-11),1,23:54,2,3,.667,0,0,,1,2,.500,1,4,5,0,0,1,1,4,5,3.3,-16
34,34,2024-01-05,31-193,MIN,@,HOU,W (+27),1,32:58:00,6,7,.857,0,0,,1,3,.333,3,9,12,1,2,2,1,2,13,16.8,+22
35,35,2024-01-07,31-195,MIN,@,DAL,L (-7),1,34:13:00,4,9,.444,0,0,,1,4,.250,6,11,17,1,1,0,5,4,9,5.7,+1
36,36,2024-01-09,31-197,MIN,@,ORL,W (+21),1,33:34:00,8,10,.800,0,0,,5,6,.833,1,11,12,1,1,3,2,3,21,21.4,+13
37,,2024-01-10,31-198,MIN,@,BOS,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
